"Name"	"Champion"	"Kind"	"Effect Text"
"Infected Cleaver"	"Dr. Mundo"	""	"(Active): Dr. Mundo hurls his cleaver in a line to damage the first enemy it hits, dealing magic damage equal to a portion of the enemy's current health and slowing them by 40% for 2 seconds, it has a minimum damage threshold. If Infected Cleaver hits a target, it refunds 50% of the cost.
Cooldown: 4 seconds
Range: 1000


Cost: 50 / 60 / 70 / 80 / 90 health
Magic Damage: 15 / 18 / 21 / 23 / 25 % of target's current health
Minimum Damage: 80 / 130 / 180 / 230 / 280"
"Burning Agony"	"Dr. Mundo"	""	"(Toggle): While active, Dr. Mundo will deal continual magic damage per second to nearby enemies and reduces the duration of crowd control effects used on Dr. Mundo.
Cooldown: 4 seconds
Radius of AoE: 175


Cost: 10 / 15 / 20 / 25 / 30 health per second
Magic Damage: 40 / 55 / 70 / 85 / 100 (+0.2 per ability power)
Duration Reduction: 15 / 20 / 25 / 30 / 35 %"
"Masochism"	"Dr. Mundo"	""	"(Active): Increases Dr. Mundo's physical damage by a flat amount for 5 seconds. In addition, Dr. Mundo also gains additional damage for each percent of health he is missing for the duration.
Cooldown: 7 seconds.


Cost: 25 / 35 / 45 / 55 / 65 health
Flat Attack Damage Bonus: 40 / 55 / 70 / 85 / 100
Extra Attack Damage Bonus: 0.4 / 0.55 / 0.7 / 0.85 / 1 per 1% of health missing"
"Sadism"	"Dr. Mundo"	""	"(Active): Dr. Mundo regenerates a portion of his maximum health over 12 seconds. Additionally, he gains extra movement speed for the duration.
Cost: 20% of current health
Cooldown: 65 seconds


Heal: 40 / 55 / 70 % of max health
Movement Speed: 15 / 25 / 35 %"
"Carnivore"	"Cho'Gath"	"Champion Passive"	"(Innate): Whenever Cho'Gath kills a unit, he restores 32 + (2 x level) health and 3.25 + (0.25 x level) mana."
"Rupture"	"Cho'Gath"	""	"(Active): Cho'Gath Ruptures the ground, creating a thin cloud of grey smoke at a target location. After 0.75 seconds, spikes will errupt from the ground, dealing magic damage to all enemies in the area. Additionally, they will be knocked into the air for 1 second, and is slowed by 60% for another 3 seconds, when they land.
Cost: 90 mana
Cooldown: 9 seconds
Range: 950
Radius: 175


Magic Damage: 80 / 135 / 190 / 245 / 305 (+1.0 per ability power)"
"Feral Scream"	"Cho'Gath"	""	"(Active): Cho'Gath screams in a cone in front of him, dealing magic damage to all enemies in the cone, and silencing them for a few seconds.
Cooldown: 13 seconds
Range: 700
Cone Width: ~60º


Cost: 70 / 80 / 90 / 100 / 110 mana
Magic Damage: 75 / 125 / 175 / 225 / 275 (+0.7 per ability power)
Silence Duration: 2 / 2.25 / 2.5 / 2.75 / 3 seconds"
"Vorpal Spikes"	"Cho'Gath"	""	"(Toggle): Whenever Cho'gath basic attacks, he will launch spikes which deal magic damage to all enemies in a line in front of him.
No cost
Range: 500


Magic Damage: 20 / 35 / 50 / 65 / 80 (+0.3 per ability power)"
"Feast"	"Cho'Gath"	""	"(Active): Devours a target nearby enemy unit dealing true damage. Feast always deals 1000 (+0.7 per ability power) true damage to minions and monsters. If the target is killed, Cho'Gath grows and gains extra health. This effect stacks up to 6 times and Cho'Gath loses half his stacks rounded up upon death.
Cost: 100 mana
Cooldown: 60 seconds
Range: 100


True Damage to Champions: 300 / 475 / 650 (+0.7 per ability power)
Health Increase: 90 / 120 / 150 per stack
Max Health Increase: 540 / 720 / 900"
"Dread"	"Fiddlesticks"	"Champion Passive"	"(Innate): Nearby enemy units have their magic resistance reduced by 10. (1000 range)"
"Terrify"	"Fiddlesticks"	""	"(Active): Strikes a target unit with fear, preventing it from taking any actions, and causing it to run around aimlessly in fear, while being slowed, for the duration of the spell.
Range: 575


Cost: 65 / 75 / 85 / 95 / 105 mana
Cooldown: 15 / 14 / 13 / 12 / 11 seconds
Duration: 1 / 1.5 / 2 / 2.5 / 3 seconds"
"Drain"	"Fiddlesticks"	""	"(Active): Fiddlesticks channels and leashes to a target for 5 seconds, dealing magic damage each second and healing himself for a percentage of the damage done. If the target leaves the range of Fiddlesticks' leash, he will stop channeling.
Cast Range: 475
Leash Range: 750


Cost: 80 / 90 / 100 / 110 / 120 mana
Cooldown: 10 / 9 / 8 / 7 / 6 seconds
Magic Damage Per Second: 60 / 90 / 120 / 150 / 180 (+0.45 per ability power)
Maximum Magic Damage: 300 / 450 / 600 / 750 / 900 (+2.25 per ability power)
Heal From Damage Ratio: 60 / 65 / 70 / 75 / 80 %"
"Dark Wind"	"Fiddlesticks"	""	"(Active): Fiddlesticks throws a crow that strikes an enemy target then continues to bounce from that enemy unit to another nearby enemy unit 5 times dealing magic damage and silencing for 1.2 seconds each strike. Dark Wind may strike the same target multiple times.
Range: 750
Bounce Range: 450


Cost: 50 / 70 / 90 / 110 / 130 mana
Cooldown: 15 / 14 / 13 / 12 / 11 seconds
Magic Damage Per Bounce: 65 / 85 / 105 / 125 / 145 (+0.45 per ability power)"
"Crowstorm"	"Fiddlesticks"	""	"(Active): After channeling for 1.5 seconds, Fiddlesticks teleports to nearby target location with a murder of crows flying wildly around him for 5 seconds, dealing magic damage to all enemy units in the area each second.
Teleport Range: 800
Radius of AoE: 600


Cost: 150 / 200 / 250 mana
Cooldown: 150 / 140 / 130 seconds
Magic Damage Per Second: 125 / 225 / 325 (+0.45 per ability power)
Maximum Magic Damage: 625 / 1125 / 1625 (+2.25 per ability power)"
"Nimble Fighter"	"Fizz"	"Champion Passive"	"(Innate): Fizz's dexterity allows him to perpetually ignore unit collision and take 4 /  6 /  8 /  10 /  12 /  14 reduced physical damage from autoattacks."
"Urchin Strike"	"Fizz"	""	"(Active): Fizz dashes a fixed distance in the direction of his target, dealing his total attack damage as physical damage plus additional magic damage to it. The ability will also apply on-hit effects.
Range: 550


Cost: 50 / 55 / 60 / 65 / 70 mana
Cooldown: 10 / 9 / 8 / 7 / 6 seconds
Additional Magic Damage: 10 / 40 / 70 / 100 / 130 (+0.6 per ability power)"
"Seastone Trident"	"Fizz"	""	"(Passive): Fizz's autoattacks rend his target, dealing magic damage over 3 seconds that strengthens if the opponent is low on life. Multiple autoattacks will only refresh the duration. The total damage caps at 270 against minions and monsters.
Passive Total Magic Damage: 30 / 40 / 50 / 60 / 70 (+0.35 per ability power)+ 4 / 5 / 6 / 7 / 8 % of target missing health"
"Playful"	"Fizz"	""	"(Active): Fizz hops onto his trident in a nearby location, becoming untargetable for 0.75 seconds and gaining the ability to use Trickster before the effect ends.
If Fizz does not use it, he will slam the ground below him, dealing magic damage and slowing nearby enemies for 2 seconds.


Cost: 90 / 100 / 110 / 120 / 130 mana
Cooldown: 16 / 14 / 12 / 10 / 8 seconds
Slow: 40 / 45 / 50 / 55 / 60 %
Magic Damage: 70 / 120 / 170 / 220 / 270 (+0.75 per ability power)"
"Chum the Waters"	"Fizz"	""	"(Active): Fizz throws a fish in a line that will bind itself onto the first enemy champion it hits. If it doesn't hit an enemy champion it will stay on an area, and it will stick to the first enemy champion that walks into the area. The champion that has the fish attached will be slowed by 50%.
Regardless of position, after 1.5 seconds, a Shark will emerge from the earth to eat the fish, dealing magic damage, knocking up the target, knocking back all other enemies within the area from the center and slowing all enemies in the area for 1.5 seconds.

Cost: 150 mana
Range: 1275


Cooldown: 100 / 85 / 70 seconds
Magic Damage: 200 / 325 / 450 (+1.0 per ability power)
Slow: 50 / 60 / 70 %"
"Runic Skin"	"Galio"	"Champion Passive"	"(Innate): Galio receives 50% of his total magic resistance as additional ability power."
"Resolute Smite"	"Galio"	""	"(Active): Galio fires a concussive blast from his eyes to a target location, dealing magic damage to all enemies hit and reducing their movement speed for 2.5 seconds.
Cooldown: 7 seconds
Range to Center of AoE: 900
Radius of AoE: 175
Projectile Speed: 1300


Cost: 60 / 65 / 70 / 75 / 80 mana
Magic Damage: 80 / 135 / 190 / 245 / 300 (+0.7 per ability power)
Slow: 24 / 28 / 32 / 36 / 40 %"
"Bulwark"	"Galio"	""	"(Active): Galio shields an allied champion for 4 seconds, increasing their armor and magic resistance. Each time that unit takes damage, Galio is healed. The heal is 20% weaker than the last for each consecutive hit.
Cost: 60 mana
Cooldown: 13 seconds
Range: 800


Bonus Armor &amp; Magic Resistance: 30 / 45 / 60 / 75 / 90
Heal: 25 / 40 / 55 / 70 / 85 (+0.3 per ability power)"
"Righteous Gust"	"Galio"	""	"(Active): Galio unleashes a gust of magical wind that deals magic damage to all enemies in its path. A directional draft remains for 5 seconds, increasing the movement speed of allies passing through it.
Cooldown: 12 seconds
Range: 1000


Cost: 70 / 75 / 80 / 85 / 90 mana
Magic Damage: 60 / 105 / 150 / 195 / 240 (+0.5 per ability power)
Movement Speed Bonus: 20 / 28 / 36 / 44 / 52 %."
"Idol Of Durand"	"Galio"	""	"(Active): Galio channels for 2 seconds, taunting nearby foes and reducing 50% of incoming damage.
After channeling, Galio deals magic damage to surrounding enemies, plus an additional 5% damage for each attack suffered while channeling and capping at 40% bonus damage. It can be cancelled early and will deal full damage.

Radius of AoE: 550


Cost: 100 / 150 / 200 mana
Cooldown: 170 / 150 / 130 seconds
Base Magic Damage: 220 / 330 / 440 (+0.6 per ability power)"
"Grog Soaked Blade"	"Gangplank"	"Champion Passive"	"(Innate): Gangplank's basic attacks apply a poison debuff for 3 seconds that can stack up to 3 times. Each stack deals 3 + (1 &times; level) magic damage per second and slows the target by 7%."
"Parrrley"	"Gangplank"	""	"(Active): Gangplank shoots a target enemy with his pistol, dealing physical damage. If it kills it, he gains extra gold. This ability can critically strike and applies on-hit effects, including his passive.
Cooldown: 5 seconds
Range: 625


Cost: 40 / 45 / 50 / 55 / 60 mana
Physical Damage: 20 / 45 / 70 / 95 / 120 (+1.0 per attack damage)
Extra Gold: 4 / 5 / 6 / 7 / 8"
"Remove Scurvy"	"Gangplank"	""	"(Active): Gangplank instantly removes all crowd control effects on him, as well as healing himself.
Cost: 65 mana


Cooldown: 22 / 21 / 20 / 19 / 18 seconds
Heal: 80 / 150 / 220 / 290 / 360 (+1.0 per ability power)"
"Raise Morale"	"Gangplank"	""	"(Passive): Gangplank's attack damage and movement speed are increased permanently.
Passive Attack Damage Bonus: 8 / 10 / 12 / 14 / 16
Passive Movement Speed Bonus: 3 / 4 / 5 / 6 / 7 %"
"Cannon Barrage"	"Gangplank"	""	"(Active): Gangplank signals his ship to fire cannonballs upon target area for 7 seconds. 25 cannonballs will drop over the duration and each will deal magic damage to all enemies hit. Enemies in the area of this ability are slowed by 25% for 1.25 seconds with the duration refreshing if one stays in the area.
Cost: 100 mana
Range: Global
Radius of Target AoE: 575
Radius of Cannonball AoE: 275
Sight Radius: 600 (estimate)


Magic Damage Per Cannonball: 75 / 120 / 165 (+0.2 per ability power)
Cooldown: 120 / 115 / 110 seconds"
"Perseverance"	"Garen"	"Champion Passive"	"(Innate): Garen will  regenerate 0.5% of his maximum health per second after not receiving damage for 7 seconds. The regenerative state will stop if Garen receives damage."
"Decisive Strike"	"Garen"	""	"(Active): Garen gains bonus movement speed for 4 seconds, in addition his next melee attack within 6 seconds will deal physical damage and silence its target for 2.5 seconds.
 No cost


Cooldown: 12 / 11 / 10 / 9 / 8 seconds
Total Physical Damage: 30 / 45 / 60 / 75 / 90 (+1.4 per attack damage)
Bonus Movement Speed: 15 / 20 / 25 / 30 / 35 %"
"Courage"	"Garen"	""	"(Passive): Garen's armor and magic resistance are permanently increased by 0.5 every time he kills an enemy unit. Garen can gain a maximum of 25 armor and magic resistance."
"Judgment"	"Garen"	""	"(Active): Garen rapidly spins his sword around his body for 3 seconds, removing all existing slows and reducing the duration of new slows by 50%, plus dealing physical damage to nearby enemies every half second. Minions and neutral monsters only take half damage from this ability. Garen can deactivate Judgment early by activating the ability again after 0.5 seconds. Garen cannot use Decisive Strike or Demacian Justice while Judgment is in effect. Judgment's damage can critically strike, in which case, only the bonus damage will be multiplied.
 No cost
Radius of AoE: 330


Cooldown: 13 / 12 / 11 / 10 / 9 seconds
Physical Damage Per Second: 50 / 90 / 130 / 170 / 210 (+1.4 per bonus attack damage)"
"Demacian Justice"	"Garen"	""	"(Active): Garen brings down Demacian Justice on his opponent, dealing magic damage, plus additional magic damage per amount of health his opponent has already lost.
 No cost
Range: 400


Cooldown: 140 / 120 / 100 seconds
Magic Damage: 175 / 350 / 525
Additional Damage: 1 per 3.5 / 3 / 2.5 health missing"
"Relentless Assault"	"Jax"	"Champion Passive"	"(Innate): Every time Jax attacks an enemy, he gains 4 /  6 /  8 /  10 /  12 /  14 % attack speed for 2.5 seconds (stacks up to 6 times)."
"Leap Strike"	"Jax"	""	"(Active): Jax leaps towards a target. If it's an enemy, he strikes it, dealing physical damage.
Cost: 65 mana
Range: 700


Cooldown: 10 / 9 / 8 / 7 / 6 seconds
Physical Damage: 70 / 110 / 150 / 190 / 230 (+0.6 per ability power) (+1.0 per bonus attack damage)"
"Empower"	"Jax"	""	"(Active): Jax charges his weapon with energy, causing his next autoattack or Leap Strike to deal additional magic damage. This ability resets the autoattack timer.
Cost: 30 mana


Cooldown: 7 / 6 / 5 / 4 / 3 seconds
Magic Damage: 40 / 85 / 130 / 175 / 220 (+0.6 per ability power)"
"Counter Strike"	"Jax"	""	"(Active): Jax dodges all incoming basic attacks for 1.5 seconds. At the end of the duration, Jax deals damage and stuns nearby enemies for 1 second. This spell deals additional damage for each attack dodged.
Radius of AoE: 400


Cost: 70 / 75 / 80 / 85 / 90 mana
Cooldown: 22 / 20 / 18 / 16 / 14 seconds
Physical Damage: 40 / 70 / 100 / 120 / 160 (+0.8 per bonus attack damage)
Additional Damage: 10 / 15 / 20 / 25 / 30"
"Grandmaster's Might"	"Jax"	""	"(Passive): Jax deals additional magic damage on every third basic attack. The counter will be reset if he does not attack for 2.5 seconds.
Cooldown: 100 / 90 / 80 seconds
Magic Damage: 100 / 160 / 220 (+0.7 per ability power)"
"Inner Flame"	"Karma"	"Champion Passive"	"(Innate): Karma gains up to 30 /  50 /  70 /  90 /  110 /  130 increased ability power corresponding to her percentage of missing health."
"Heavenly Wave"	"Karma"	""	"(Active): Karma sends forth a wave of hidden blades from her fans, dealing magic damage to units in a cone in front of her.
Mantra Bonus: In addition to dealing damage to enemies, Heavenly Wave will also heal Karma and her allies in the cone. An additional 5% (+1% per 50 ability power above 25) of health the targets are missing is added to the heal.

Cooldown: 6 seconds
Range: 600 (estimate)
Cone Width: 60º


Cost: 70 / 75 / 80 / 85 / 90 / 95 mana
Magic Damage: 70 / 110 / 150 / 190 / 230 / 270 (+0.6 per ability power)
Base Heal: 35 / 55 / 75 / 95 / 115 / 135"
"Spirit Bond"	"Karma"	""	"(Active): Karma creates a beam between her and an ally or enemy unit for up to 5 seconds. Allied anchors move faster and enemy anchors are slowed. The beam deals magic damage to enemies and applies the same movement speed adjustment anchors receive to any champion it passes through for 3 seconds. The beam breaks if the bonded target is stealthed.
Mantra Bonus: Karma strengthens the bond to double the effect of the movement speed modifier.

Range: 800
Leash range: 1000


Cost: 65 / 75 / 85 / 95 / 105 / 115 mana
Cooldown: 15 / 14 / 13 / 12 / 11 / 10 seconds
Movement Speed Modifier: 10 / 12 / 14 / 16 / 18 / 20 %
Magic Damage: 80 / 125 / 170 / 215 / 260 / 305 (+0.7 per ability power)"
"Soul Shield"	"Karma"	""	"(Active): Karma summons a protective shield on an ally or herself that absorbs damage for 5 seconds.
Mantra Bonus: In addition to casting the shield, a surge of energy bursts out from the shield dealing magic damage to enemy units around her target.

Cooldown: 10 seconds
Range: 650 (estimate)
Radius of Damage AoE: 600 (estimate)


Cost: 70 / 80 / 90 / 100 / 110 / 120 mana
Shield Strength &amp; Magic Damage: 80 / 120 / 160 / 200 / 240 / 280 (+0.8 per ability power)"
"Mantra"	"Karma"	""	"(Active): Karma empowers her next ability to do an additional effect. Karma gains a charge over time and stores up to 2 charges. The refresh rate is reduced by cooldown reduction and does not progress when having max charges. Both charges may be queued for application on the next 2 abilities. Reload begins when Mantra is activated, not when the charge is applied to another ability.
No cost
Cooldown: 0.25 seconds


Mantra is available from level 1 and does not require skill points. The time needed to load a charge is reduced at level 7 and 13.
Charge Reload Time: 30 / 25 / 20 seconds"
"Determined Killer"	"Evelynn"	"Champion Passive"	"(Innate): Damage received from enemy minions (not jungle monsters) is reduced by 50%."
"Hate Spike"	"Evelynn"	""	"(Active): Instantly spikes the closest enemy unit dealing magic damage and 50% of that damage to a secondary nearby target.
Cooldown: 0.8 seconds
Range: 200


Cost: 12 / 15 / 18 / 21 / 24 mana
Magic Damage To Main Target: 25 / 40 / 55 / 70 / 85 (+0.28 per ability power)
Magic Damage To Secondary Target: 12.5 / 20 / 27.5 / 35 / 42.5 (+0.14 per ability power)"
"Shadow Walk"	"Evelynn"	""	"(Active): After 1.5 second delay, that is increased further by taking damage, Evelynn enters stealth for some time. Evelynn's next attack or damage ability will slow her target for 3 seconds, instantly ending her stealth. Evelynn can cast Shadow Walk while stealthed to destealth.
Cost: 60 mana


Cooldown: 12 / 11 / 10 / 9 / 8 seconds
Stealth Maximum Duration: 10 / 20 / 30 / 40 / 50 seconds
Slow: 30 / 35 / 40 / 45 / 50 %"
"Ravage"	"Evelynn"	""	"(Active): Deals magic damage to target unit and reduces the target's armor and magic resistance for 5 seconds.
Cooldown: 9 seconds
Range: 400


Cost: 90 / 105 / 120 / 135 / 150 mana
Magic Damage: 80 / 135 / 190 / 255 / 320 (+1.0 per ability power)
Armor &amp; Magic Resistance Reduced: 10 / 14 / 18 / 22 / 26"
"Malice and Spite"	"Evelynn"	""	"(Passive): Each time Evelynn scores a kill or assist she regains health.
Health Restored: 150 / 225 / 300"
"Death Defied"	"Karthus"	"Champion Passive"	"(Innate): Upon dying, Karthus enters a spirit form, which allows him to continue casting spells for 7 seconds. During this time, his abilities cost no mana."
"Lay Waste"	"Karthus"	""	"(Active): Creates a delayed blast at the cursor position. After a half a second delay, it will deal magic damage to each nearby enemy. The damage is doubled if it hits only a single unit.
Cooldown: 1 second
Range to Center of AoE: 875
Radius of AoE: 100


Cost: 20 / 26 / 32 / 38 / 44 mana
Magic Damage (Multiple Target): 40 / 60 / 80 / 100 / 120 (+0.3 per ability power) 
 Magic Damage (Single Target): 80 / 120 / 160 / 200 / 240 (+0.6 per ability power)"
"Wall of Pain"	"Karthus"	""	"(Active): Karthus creates a wall between 2 obelisks at target position. Any enemy passing this wall have their armor, magic resistance, and movement speed reduced for 5 seconds. The wall lasts 5 seconds.
Cost: 100 mana
Cooldown: 18 seconds
Range to Center of Wall: 1000


Wall Length: 800 / 900 / 1000 / 1100 / 1200
Maximum Wall Sight est.: 1300 / 1325 / 1350 / 1375 / 1400
Armor and Magic Resist Reduction: 15 / 20 / 25 / 30 / 35
Slow: 40 / 50 / 60 / 70 / 80 %"
"Defile"	"Karthus"	""	"(Toggle) - Off: When Karthus kills a unit, he restores mana.
Mana Restored: 20 / 27 / 34 / 41 / 48 per kill"
"Requiem"	"Karthus"	""	"(Active):  After channeling for 3 seconds, Karthus deals magic damage to all enemy champions.
Cost: 150 / 175 / 200 mana
Cooldown: 180 / 150 / 120 seconds
Magic Damage: 250 / 400 / 550 (+0.6 per ability power)"
"Void Stone"	"Kassadin"	"Champion Passive"	"(Innate): Kassadin takes 15% reduced magic damage after magic resistance reductions have been applied. Kassadin converts each point of this ignored damage into 1% bonus attack speed. Each of these conversions last individually for 4 seconds and the attack speed will stack."
"Null Sphere"	"Kassadin"	""	"(Active): Kassadin fires an ethereal bolt of void energy to a single target, dealing magic damage and silencing the target for a few seconds.
Cooldown: 9 seconds
Range: 650
Projectile Speed: 1400


Cost: 70 / 80 / 90 / 100 / 110 mana
Magic Damage: 80 / 130 / 180 / 230 / 280 (+0.7 per ability power)
Silence Duration: 1 / 1.4 / 1.8 / 2.2 / 2.6 second(s)"
"Nether Blade"	"Kassadin"	""	"(Passive): Kassadin's melee attacks restore mana. This effect returns triple the mana when striking champions.
Mana Restored: 8 / 11 / 14 / 17 / 20"
"Force Pulse"	"Kassadin"	""	"(Active): Kassadin draws energy from spells cast in his vicinity, gaining a charge whenever a spell is cast near him, including his own spells. Upon reaching 6 charges, Kassadin can use Force Pulse to deal magic damage and slow enemies in a cone in front of him for 3 seconds.
Cost: 80 mana
Cooldown: 6 seconds
Range: 400
Cone Width: 80º


Magic Damage: 80 / 130 / 180 / 230 / 280 (+0.7 per ability power)
Slow: 30 / 35 / 40 / 45 / 50 %"
"Riftwalk"	"Kassadin"	""	"(Active): Kassadin blinks to a nearby location, dealing magic damage to enemy units surrounding the destination area. Each subsequent Riftwalk in the next 8 seconds will cost 100 additional mana and will deal additional damage. The cost and damage increase can stack up to 10 times.
Base Cost: 100 mana
Range: 700
Radius of Damage AoE: 150


Cooldown: 7 / 6 / 5 seconds
Base Magic Damage: 60 / 90 / 120 (+0.5 per ability power)
Additional Damage Per Stack: 60 / 90 / 120"
"Mark of the Storm"	"Kennen"	"Champion Passive"	"(Innate): Kennen's abilities add Marks of the Storm to opponents which last for 8 seconds. An opponent is stunned for 1 second upon receiving 3 Marks of the Storm, and Kennen receives 25 energy. The stun has a diminished effect, and will only stun for approx 0.5 seconds if applied more than once within 7 seconds."
"Thundering Shuriken"	"Kennen"	""	"(Active): Kennen throws a charged shuriken in a line in front of him, dealing magic damage and adding a Mark of the Storm to the first opponent that it hits.
Range: 1050


Cost: 65 / 60 / 55 / 50 / 45 energy
Cooldown: 7 / 6 / 5 / 4 / 3 seconds
Magic Damage: 75 / 115 / 155 / 195 / 235 (+0.75 per ability power)"
"Electrical Surge"	"Kennen"	""	"(Passive): Every 5 attacks, Kennen will deal extra magic damage equal to a percentage of his attack damage and add a Mark of the Storm to his target.
Magic Damage: 40 / 50 / 60 / 70 / 80% of his attack damage"
"Lightning Rush"	"Kennen"	""	"(Active): For 3 seconds Kennen's base movement speed is doubled. He also gains the ability to pass through units, dealing magic damage to all enemy units in the process, and restoring 40 energy from the first enemy he hits. This ability only deal 50% damage to minions. Additionally, for 4 seconds Kennen's armor and magic resistance is increased,
While Lightning Rush is active, he can activate it again, to cancel the first part of the ability.


Cost: 100 / 95 / 90 / 85 / 80 energy
Cooldown: 10 / 9 / 8 / 7 / 6 seconds
Magic Damage: 85 / 125 / 165 / 205 / 245 (+0.6 per ability power)
Armor and Magic Resist Bonus: 10 / 20 / 30 / 40 / 50"
"Slicing Maelstrom"	"Kennen"	""	"(Active): Kennen summons a magical storm that deals magic damage to a random enemy champion near Kennen every 0.5/0.4/0.33 seconds. The storm hits several times, increasing with level, and cannot hit the same target more than 3 times. A Mark of the Storm is applied to enemies each time they are hit.
Cooldown: 120 seconds
Radius: 550 (estimate)


Cost: 50 / 45 / 40 energy
Magic Damage Per Bolt: 80 / 145 / 210 (+0.4 per ability power)
Number of Bolts: 6 / 10 / 15
Time Between Bolts: 0.5 / 0.4 / 0.33 seconds"
"Tailwind"	"Janna"	"Champion Passive"	"(Innate): Increases the movement speed of all allied champions by 3%. This bonus is lost while Janna is dead."
"Howling Gale"	"Janna"	""	"(Active): Janna summons a mighty whirlwind. She can activate the spell again to release the storm. On release the storm will fly in the direction it was cast, dealing magic damage to enemies and knocking them into the air for 0.8 seconds. The damage done and distance traveled by the whirlwind increase for each second it channels to a maximum of 3.
Range: 1100-1700


Cost: 90 / 105 / 120 / 135 / 150 mana
Cooldown: 14 / 13 / 12 / 11 / 10 seconds
Magic Damage: 60 / 85 / 110 / 135 / 160 (+0.75 per ability power)
Additional Damage: 25 / 30 / 40 / 50 / 60 per second charging"
"Zephyr"	"Janna"	""	"(Passive): Janna summons an air elemental that increases her movement speed and enables her to pass through units.
Movement Speed Bonus: 8 / 10 / 12 / 14 / 16 %"
"Eye Of The Storm"	"Janna"	""	"(Active): Janna conjures a defensive gale that shields her target from incoming damage for up to 5 seconds. The target will also gain an attack damage bonus for 5 seconds. This ability can target turrets.
Cooldown: 10 seconds
Range: 800


Cost: 70 / 80 / 90 / 100 / 110 mana
Shield Strength: 80 / 120 / 160 / 200 / 240 (+0.9 per ability power) 
Attack Damage Bonus: 14 / 23 / 32 / 41 / 50"
"Monsoon"	"Janna"	""	"(Active): Janna knocks surrounding enemies back and channels healing winds, restoring health to nearby allies each half second, for 4 seconds.
Cooldown: 120 seconds
Radius: 725
Max. knockback distance: 950 (estimate)


Cost: 200 / 275 / 350 mana
Heal Per Half Second: 35 / 55 / 75 (+0.175 per ability power)
Max Amount of Healing: 280 / 440 / 600 (+1.4 per ability power)"
"Martial Cadence"	"Jarvan IV"	"Champion Passive"	"(Innate): Jarvan IV's first attack on a target deals 6 /  8 /  10 % of their current health as bonus physical damage. This caps at 400 damage. This effect cannot occur on the same target for 6 seconds."
"Dragon Strike"	"Jarvan IV"	""	"(Active): Jarvan IV extends his lance, dealing physical damage in a straight line and lowering the Armor of all enemies hit for 3 seconds. Additionally, if it encounters his Demacian Standard, it will pull Jarvan to it, knocking up enemies along his path.
Range: 770


Cost: 45 / 50 / 55 / 60 / 65 mana
Cooldown: 10 / 9 / 8 / 7 / 6 seconds
Physical Damage: 70 / 115 / 160 / 205 / 250 (+1.1 per bonus attack damage)
Armor Reduction: 10 / 14 / 18 / 22 / 26 %"
"Golden Aegis"	"Jarvan IV"	""	"(Active): Jarvan IV shields himself for 5 seconds, which, upon activation, also slows surrounding enemies for 2 seconds. The shield gains strength for every nearby enemy champion upon activation.
Cost: 65 mana
Radius of AoE: 600


Cooldown: 20 / 18 / 16 / 14 / 12 seconds
Shield Strength: 50 / 90 / 130 / 170 / 210
Extra Shield Strength: 20 / 25 / 30 / 35 / 40 per nearby enemy champion
Slow: 15 / 20 / 25 / 30 / 35 %"
"Demacian Standard"	"Jarvan IV"	""	"(Passive): Permanently grants Jarvan IV bonus attack speed and armor.
Attack Speed: 10 / 13 / 16 / 19 / 22%
Armor: 10 / 13 / 16 / 19 / 22"
"Cataclysm"	"Jarvan IV"	""	"(Active): Jarvan IV dashes to an enemy champion, dealing physical damage and creating a circle of impassable terrain around them for a 3.5 second duration. Jarvan IV can destroy the impassable terrain by activating this ability again.
Range: 650
Radius of Wall AoE: 300
Radius of Sight: 1650


Cost: 100 / 125 / 150 mana
Cooldown: 120 / 105 / 90 seconds
Physical Damage: 200 / 325 / 450 (+1.5 per bonus attack damage)"
"Flurry"	"Lee Sin"	"Champion Passive"	"(Innate): After Lee Sin uses an ability, his next 2 autoattacks within 3 seconds gain 50% attack speed and return 15 energy each."
"Sonic Wave"	"Lee Sin"	""	"(Active): Lee Sin shoots a wave of sound in a line, dealing physical damage to the first enemy it encounters and revealing his enemies for 3 seconds. If Sonic Wave hits, Lee Sin can cast Resonating Strike within the next 3 seconds.
Cost: 50 energy
Range: 975


Cooldown: 11 / 10 / 9 / 8 / 7 seconds
Physical Damage: 50 / 80 / 110 / 140 / 170 (+0.9 per bonus attack damage)"
"Safeguard"	"Lee Sin"	""	"(Active): Lee Sin shields himself, or dashes towards a target ally unit, shielding them both from damage for the next 5 seconds. After using Safeguard, Lee Sin can cast Iron Will within the next 3 seconds.
Cost: 50 energy
Cooldown: 8 seconds
Range: 700


Shield Strength: 40 / 80 / 120 / 160 / 200 (+0.8 per ability power)"
"Tempest"	"Lee Sin"	""	"(Active): Lee Sin smashes the ground dealing magic damage to all nearby enemies and revealing them for 4 seconds. If Tempest hits an enemy, Lee Sin can cast Cripple within the next 3 seconds.
Cost: 50 energy
Cooldown: 10 seconds
Radius of AoE: 350


Magic Damage: 60 / 95 / 130 / 165 / 200 (+1.0 per bonus attack damage)"
"Dragon's Rage"	"Lee Sin"	""	"(Active): Lee Sin performs a powerful roundhouse kick knocking his target back, dealing physical damage to the target and any enemies they collide with. Enemies the target collides with are briefly knocked into the air.
No cost
Range: 375
Knockback distance: 1,200 (estimate).


Cooldown: 90 / 75 / 60 seconds
Physical Damage: 200 / 400 / 600 (+2.0 per bonus attack damage)"
